tweet_id,name,type,rating,stage,retweet_count,favorite_count,jpg_url
892177421306343426,Tilly,Chihuahua,13,,6480,33786,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg
891815181378084864,Archie,Chihuahua,12,,4301,25445,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg
891689557279858688,Darla,Labrador_retriever,13,,8925,42863,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg
891327558926688256,Franklin,basset,12,,9721,41016,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg
891087950875897856,,Chesapeake_Bay_retriever,13,,3240,20548,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg
890971913173991426,Jax,Appenzeller,13,,2142,12053,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg
890729181411237888,,Pomeranian,13,,19548,66596,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg
890609185150312448,Zoey,Irish_terrier,13,,4403,28187,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg
890240255349198849,Cassie,Pembroke,14,doggo,7684,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg
890006608113172480,Koda,Samoyed,13,,7584,31127,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg
889880896479866881,Bruno,French_bulldog,13,,5116,28208,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg
889665388333682689,,Pembroke,13,puppo,8502,38745,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg
889638837579907072,Ted,French_bulldog,12,,4705,27633,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg
889531135344209921,Stuart,golden_retriever,13,puppo,2309,15329,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg
889278841981685760,Oliver,whippet,13,,5635,25712,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg
888917238123831296,Jim,golden_retriever,12,,4681,29555,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg
888804989199671297,Zeke,golden_retriever,13,,4535,26021,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg
888554962724278272,Ralphus,Siberian_husky,13,,3722,20267,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg
888078434458587136,Gerald,French_bulldog,12,,3637,22144,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg
887705289381826560,Jeffrey,basset,13,,5584,30690,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg
887473957103951883,Canela,Pembroke,13,,18813,70007,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg
887343217045368832,,Mexican_hairless,13,,10713,34223,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg
887101392804085760,,Samoyed,12,,6147,31045,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg
886983233522544640,Maya,Chihuahua,13,,8045,35786,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg
886736880519319552,Mingus,kuvasz,13,,3420,12286,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg
886366144734445568,Roscoe,French_bulldog,12,pupper,3297,21488,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg
886258384151887873,Waffles,pug,13,,6506,28437,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg
885984800019947520,Jimbo,Blenheim_spaniel,12,,7043,33299,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg
885528943205470208,Maisey,pug,13,,6642,36592,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg
885167619883638784,,malamute,13,,4526,22304,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg
884925521741709313,Earl,Italian_greyhound,12,,19149,78881,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg
884876753390489601,Lola,chow,13,,6042,28429,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg
884562892145688576,Kevin,pug,13,,5076,24716,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg
884441805382717440,,Pembroke,14,,5836,27443,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg
884162670584377345,Yogi,German_shepherd,12,doggo,3099,20719,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg
883838122936631299,Noah,Doberman,12,,3559,22269,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg
883482846933004288,Bella,golden_retriever,5,,10336,46741,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg
883360690899218434,Grizzwald,chow,13,floofer,3802,22932,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg
883117836046086144,,golden_retriever,13,,6900,37810,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg
882992080364220416,Rusty,Eskimo_dog,13,,4086,24358,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg
882762694511734784,Gus,Labrador_retriever,12,pupper,5086,28810,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg
